no_of_click,ip_address,is_gclid,country_name,url
1,108.162.245.204,yes,United States,"/landing/images
   /landing/flutter-2"
1,108.162.245.178,yes,United States,"/landing/flutter-2
   /landing/images"
1,108.162.245.185,yes,United States,/landing/flutter-2
1,108.162.245.167,yes,United States,"/landing/flutter-2
   /landing/images"
1,108.162.245.122,yes,United States,/landing/flutter-2
1,108.162.245.150,yes,United States,"/landing/flutter-2
   /landing/images"
1,108.162.245.55,yes,United States,/landing/laravel-2
1,108.162.245.151,yes,United States,/landing/laravel-2
1,108.162.245.41,yes,United States,/landing/laravel-2
1,108.162.245.211,yes,United States,/landing/laravel-2
1,108.162.245.195,yes,United States,/landing/laravel-2
1,108.162.245.247,yes,United States,/landing/laravel-2
1,108.162.245.114,yes,United States,/landing/laravel-2
3,108.162.245.43,yes,United States,/landing/flutter-2
1,108.162.245.16,yes,United States,/landing/flutter-2
1,108.162.245.6,yes,United States,/landing/flutter-2
1,108.162.245.162,yes,United States,"/landing/flutter-2
   /landing/images"
1,108.162.245.30,yes,United States,/landing/images
1,108.162.245.88,yes,United States,/landing/images
1,108.162.245.159,yes,United States,"/landing/flutter-2
   /landing/images"
1,108.162.245.92,yes,United States,/landing/flutter-2
1,108.162.245.196,yes,United States,/landing/flutter-2
1,108.162.245.133,yes,United States,/landing/laravel-2
1,108.162.245.179,yes,United States,/landing/images
1,108.162.245.102,yes,United States,"/landing/laravel-2
   /landing/images"
1,108.162.245.194,yes,United States,/landing/images
1,108.162.245.193,yes,United States,/landing/laravel-2
1,108.162.245.56,yes,United States,/landing/images
1,108.162.245.174,yes,United States,/landing/images
1,108.162.245.241,yes,United States,/landing/laravel-2
1,108.162.245.230,yes,United States,/landing/laravel-2
1,108.162.245.67,yes,United States,/landing/laravel-2
1,108.162.245.146,yes,United States,/landing/laravel-2
1,108.162.245.141,yes,United States,/landing/laravel-2
